Land	Kabinett	Amtszeit-Jahr	Amtszeit-Datum	Beteiligte Parteien	Ministerpräsident
rheinland-pfalz	Beck V	2011-2013	18.05.2011-16.01.2013	SPD, Grüne	Kurt Beck
rheinland-pfalz	Dreyer I	2013-2016	16.01.2013-17.05.2016	SPD, Grüne	Malu Dreyer
rheinland-pfalz	Dreyer II	2016-	17.05.2016-	SPD, FDP, Grüne	Malu Dreyer
saarland	Kabinett Hoffmann I	1947–1951		CVP, SPS	Johannes Hoffmann (CVP)
saarland	Kabinett Hoffmann II	1951–1952		CVP	Johannes Hoffmann (CVP)
saarland	Kabinett Hoffmann III	1952–1954		CVP, SPS	Johannes Hoffmann (CVP)
saarland	Kabinett Hoffmann IV	1954–1955		CVP	Johannes Hoffmann (CVP)
saarland	Kabinett Welsch	1955–1956		parteilos	Heinrich Welsch (parteilos)
saarland	Kabinett Ney	1956–1957		CDU, DPS, SPD	Hubert Ney (CDU)
saarland	Kabinett Reinert I	1957–1959		CDU, SPD, DPS	Egon Reinert (CDU)
saarland	Kabinett Reinert II	1959-1959		CDU, SPD, CVP	Egon Reinert (CDU)
saarland	Kabinett Röder I	1959–1961		CDU, SPD	Franz-Josef Röder (CDU)
saarland	Kabinett Röder II	1961–1965		CDU, FDP/DPS	Franz-Josef Röder (CDU)
saarland	Kabinett Röder III	1965–1970		CDU, FDP/DPS	Franz-Josef Röder (CDU)
saarland	Kabinett Röder IV	1970–1974		CDU	Franz-Josef Röder (CDU)
saarland	Kabinett Röder V	1974–1977		CDU	Franz-Josef Röder (CDU)
saarland	Kabinett Röder VI	1977–1979		CDU, FDP/DPS	Franz-Josef Röder (CDU)
saarland	Kabinett Zeyer I	1979–1980		CDU, FDP/DPS	Werner Zeyer (CDU)
saarland	Kabinett Zeyer II	1980–1984		CDU, FDP/DPS	Werner Zeyer (CDU)
saarland	Kabinett Zeyer III	1984–1985		CDU, FDP/DPS	Werner Zeyer (CDU)
saarland	Kabinett Lafontaine I	1985–1990		SPD	Oskar Lafontaine (SPD)
saarland	Kabinett Lafontaine II	1990–1994		SPD	Oskar Lafontaine (SPD)
saarland	Kabinett Lafontaine III	1994–1998		SPD	Oskar Lafontaine (SPD)
saarland	Kabinett Klimmt	1998–1999		SPD	Reinhard Klimmt (SPD)
saarland	Kabinett Müller I	1999–2004		CDU	Peter Müller (CDU)
saarland	Kabinett Müller II	2004–2009		CDU	Peter Müller (CDU)
saarland	Kabinett Müller III	2009–2011		CDU, FDP/DPS, Grüne	Peter Müller (CDU)
saarland	Kabinett Kramp-Karrenbauer I	2011–2012		CDU, FDP/DPS, Grüne	Annegret Kramp-Karrenbauer (CDU)
saarland	Kabinett Kramp-Karrenbauer II	2012–2017		CDU, SPD	Annegret Kramp-Karrenbauer (CDU)
saarland	Kabinett Kramp-Karrenbauer III	2017–2018		CDU, SPD	Annegret Kramp-Karrenbauer (CDU)
saarland	Kabinett Hans	2018-		CDU, SPD	Tobias Hans (CDU)
sachsen	Kabinett Biedenkopf I	1990–1994		CDU	Kurt Biedenkopf (CDU)
sachsen	Kabinett Biedenkopf II	1994–1999		CDU	Kurt Biedenkopf (CDU)
sachsen	Kabinett Biedenkopf III	1999–2002		CDU	Kurt Biedenkopf (CDU)
sachsen	Kabinett Milbradt I	2002–2004		CDU	Georg Milbradt (CDU)
sachsen	Kabinett Milbradt II	2004–2008		CDU, SPD	Georg Milbradt (CDU)
sachsen	Kabinett Tillich I	2008–2009		CDU, SPD	Stanislaw Tillich (CDU)
sachsen	Kabinett Tillich II	2009–2014		CDU, FDP	Stanislaw Tillich (CDU)
sachsen	Kabinett Tillich III	2014–2017		CDU, SPD	Stanislaw Tillich (CDU)
sachsen	Kabinett Kretschmer	2017-		CDU, SPD	Michael Kretschmer (CDU)
sachsen-anhalt	Kabinett Gies	1990–1991		CDU, FDP	Gerd Gies (CDU)
sachsen-anhalt	Kabinett Münch	1991–1993		CDU, FDP	Werner Münch (CDU)
sachsen-anhalt	Kabinett Bergner	1993–1994		CDU, FDP	Christoph Bergner (CDU)
sachsen-anhalt	Kabinett Höppner I	1994–1998		SPD, Bündnis 90/Die Grünen	Reinhard Höppner (SPD)
sachsen-anhalt	Kabinett Höppner II	1998–2002		SPD	Reinhard Höppner (SPD)
